empresa;cargo;localizacao;modalidade;contrato;pcd;data
Imagem Geosistemas;1349 - Analista de Dados Júnior;Sao Jose d... - SP;Presencial;Efetivo;Também p/ PcD;28/08/2023
Verdegreen Hotel;Banco de Dados - Unipê;João Pessoa - PB;Presencial;Banco de Talentos;Também p/ PcD;25/08/2023
Grupo Boticário;Analista ll – Dados e insights (Afirmativa para talentos negros) - Temporária;Sao Jose d... - PR;Presencial;Temporário;Não informado;25/08/2023
Central IT;ADMINISTRADOR DE BANCO DE DADOS SÊNIOR;Não informado;Presencial;Efetivo;Também p/ PcD;25/08/2023
GVC SOLUÇÕES EM COBRANÇA;ANALISTA DE DADOS;São José d... - SP;Presencial;Efetivo;Também p/ PcD;25/08/2023
Incentivar;Engenheiro de Dados;São Paulo - SP;Presencial;Autônomo;Também p/ PcD;25/08/2023
GLOBAL HITSS;13790-Engenheiro de Dados;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;25/08/2023
NAVA | Technology for Business;CIENTISTA DE DADOS PL - REMOTO;Não informado;Remoto;Efetivo;Também p/ PcD;25/08/2023
Join Tecnologia & Design;Especialista em Dados ;Brasília - DF;Presencial;Efetivo;Também p/ PcD;25/08/2023
Sicredi;0116 - Analista de BI - Área de Dados- Sede da Cooperativa - Porto Alegre;Porto Alegre - RS;Presencial;Efetivo;Também p/ PcD;25/08/2023
GOVERNANÇABRASIL - GOVBR;Analista de Dados Pl;Blumenau - SC;Presencial;Efetivo;Também p/ PcD;25/08/2023
NAVA | Technology for Business;CIENTISTA DE DADOS SR - Fortaleza/CE;Fortaleza - CE;Presencial;Efetivo;Também p/ PcD;25/08/2023
Cielo;Analista de Dados Pleno | Pricing e Customer Analytics;Barueri - SP;Presencial;Efetivo;Também p/ PcD;25/08/2023
Cielo;Especialista em Ciência de Dados | Pricing e Customer Analytics;Barueri - SP;Presencial;Efetivo;Também p/ PcD;25/08/2023
Getnet Brasil;Pessoa Especialista de Qualidade - Dados;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;25/08/2023
Confidencial;Analista de Banco de Dados Sênior;Curitiba - PR;Presencial;Efetivo;Também p/ PcD;25/08/2023
Vem Pra Vivo;Analista AdOps e Dados PL;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;24/08/2023
Clinicorp Solutions;Analista de Migração de Dados Pleno;Jaraguá do... - SC;Presencial;Efetivo;Também p/ PcD;24/08/2023
OLX Brasil;Analista de Dados - Pleno;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;24/08/2023
YDUQS;PESSOA ANALISTA DE FATURAMENTO SÊNIOR (FOCO EM DADOS);Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;24/08/2023
Radix Engenharia e Software;Profissional de Engenharia de Dados Sênior;Não informado;Remoto;Efetivo;Não informado;24/08/2023
Radix Engenharia e Software;Profissional de Engenharia de Dados Pleno;Não informado;Remoto;Efetivo;Não informado;24/08/2023
Vem Pra Vivo;Consultor CyberSecurity - Proteção de Dados;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;24/08/2023
Techware Systems;Administrador de Banco de Dados Jr (DBA) ;São Paulo - SP;Presencial;Efetivo;Não informado;24/08/2023
Terraverde Agro;Cientista de Dados - Piracicaba;Piracicaba - SP;Presencial;Efetivo;Também p/ PcD;24/08/2023
Itaú Unibanco;ANL DADOS ANALYTICS JR;Sao Paulo - SP;Presencial;Efetivo;Também p/ PcD;24/08/2023
CONEXA;Analista de Dados Pleno;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;24/08/2023
Grupo RBS;Analista dados I ;Porto Alegre - RS;Remoto;Efetivo;Também p/ PcD;24/08/2023
Bild Desenvolvimento Imobiliário ;Cientista de Dados;Ribeirão P... - SP;Presencial;Efetivo;Também p/ PcD;24/08/2023
Caixa Vida e Previdência;Analista de Dados Sênior;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;24/08/2023
Minsait an Indra Company;Pessoa Arquiteto de Dados Sênior;Não informado;Remoto;Efetivo;Também p/ PcD;24/08/2023
Vem Ser Programmers;Cientista de Dados (Home Office/Brasil) ;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;24/08/2023
Visagio;Formados - Tecnologia | Automação e Dados NE ;Recife - PE;Presencial;Banco de Talentos;Também p/ PcD;24/08/2023
Visagio;Formados - Tecnologia | Automação e Dados Fortaleza;Fortaleza - CE;Presencial;Banco de Talentos;Também p/ PcD;24/08/2023
Visagio;Formados - Tecnologia | Automação e Dados SP ;São Paulo - SP;Presencial;Banco de Talentos;Também p/ PcD;24/08/2023
Visagio;Formados - Tecnologia | Automação e Dados RJ;Rio de Jan... - RJ;Presencial;Banco de Talentos;Também p/ PcD;24/08/2023
Datum TI;Pessoa Analista de Dados Sênior ;Santa Maria - RS;Remoto;Efetivo;Também p/ PcD;23/08/2023
Barcelos;ANALISTA DE INTELIGÊNCIA DE DADOS/ CAMPOS DOS GOYTACAZES;Campos dos... - RJ;Presencial;Efetivo;Também p/ PcD;23/08/2023
Brognoli;Estágio em análise de dados;Florianópolis - SC;Presencial;Estágio;Também p/ PcD;23/08/2023
Lanlink Informática;Cientista de Dados - SOC;Fortaleza - CE;Presencial;Efetivo;Também p/ PcD;23/08/2023
One Big Media Group;Analista de Dados Pleno;Belo Horiz... - MG;Presencial;Pessoa Jurídica;Também p/ PcD;23/08/2023
NZN;Analista de Dados PL;Não informado;Presencial;Efetivo;Também p/ PcD;23/08/2023
ANBIMA  ;Engenheiro de dados - Pleno;São Paulo - SP;Presencial;Efetivo;Não informado;23/08/2023
YDUQS;PESSOA ANALISTA DE DADOS GERENCIAIS;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;23/08/2023
3CON | IT & Digital;Arquiteto de Dados Sênior;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;23/08/2023
3CON | IT & Digital;Engenheiro de Dados Sênior;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;23/08/2023
3CON | IT & Digital;Cientistas de Dados Sênior;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;23/08/2023
3CON | IT & Digital;Cientistas de Dados Senior ;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;23/08/2023
Órigo Energia;Analista de Dados;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;23/08/2023
V.tal | o futuro passa por aqui;Especialista em Customer Service ( Dados &BI);São Paulo - SP;Presencial;Efetivo;Também p/ PcD;23/08/2023
Hummanos Consultoria RH;Analista de Dados e Processos ;Uberlândia - MG;Presencial;Efetivo;Não informado;23/08/2023
Globo;Pessoa Engenheira de dados Sênior - Data & AI | Mais pessoas com deficiência na tecnologia! 🦾💻 ;Rio de Jan... - RJ;Remoto;Efetivo;Também p/ PcD;23/08/2023
Toro Investimentos;Analista de Dados e Negócios Sênior (Remoto);Belo Horiz... - MG;Remoto;Efetivo;Também p/ PcD;22/08/2023
Raízen ;Coordenador(a) Excelência Operacional (Foco em Inteligência e Governança Industrial - Dados) ;Piracicaba - SP;Presencial;Efetivo;Não informado;22/08/2023
dtidigital;Estágio em Análise de Dados ;Belo Horiz... - MG;Presencial;Estágio;Não informado;22/08/2023
Brasilseg;Analista de Dados Pleno ;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;22/08/2023
Banco Bmg;Analista de Arquitetura de Dados Sênior ;São Paulo - SP;Presencial;Efetivo;Não informado;22/08/2023
Movilway;Analista de Banco de Dados Jr - Movilway - Remoto;Belo Horiz... - MG;Remoto;Banco de Talentos;Também p/ PcD;22/08/2023
Conta Simples;Cientista de Dados Sênior;São Paulo - SP;Remoto;Pessoa Jurídica;Também p/ PcD;22/08/2023
Liderança Capitalização;Analista de Dados;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;22/08/2023
Leega Consultoria;Engenheiro de Dados GCP Pleno;São Paulo - SP;Remoto;Efetivo;Não informado;22/08/2023
Cielo;Engenheiro de Dados Sênior;Barueri - SP;Presencial;Efetivo;Também p/ PcD;22/08/2023
Radix Engenharia e Software;Estágio em Análise de Dados Industriais ;Não informado;Remoto;Estágio;Também p/ PcD;22/08/2023
Preâmbulo Tech;Analista de Dados DBA - Curitiba/PR;Curitiba - PR;Presencial;Efetivo;Também p/ PcD;22/08/2023
